Pair,Correlation,Combined Market Cap,Combined Change %
BTC-WBTC,0.9996,$1.90T,-0.03
USDT-USDC,0.999,$182.40B,0.01
STETH-WEETH,0.998,$38.74B,-5.74
WETH-WEETH,0.9897,$16.20B,-5.65
STETH-WETH,0.9888,$41.97B,-5.88
ICP-POL,0.9688,$8.98B,-12.16
ETH-WEETH,0.9671,$408.36B,-5.84
ETH-STETH,0.9641,$434.13B,-6.07
ETH-WETH,0.9532,$411.59B,-5.98
ETC-ARB,0.9491,$7.17B,-16.72
ETH-ETC,0.9274,$405.80B,-12.01
ADA-DOT,0.9241,$41.88B,-16.8
DOT-NEAR,0.9119,$16.74B,-22.92
POL-ARB,0.9103,$7.30B,-14.8
ICP-ARB,0.9062,$8.15B,-12.94
NEAR-ICP,0.9043,$11.11B,-18.55
ETH-ARB,0.9035,$405.11B,-10.86
DOT-ARB,0.9031,$13.78B,-17.31
AVAX-LINK,0.9018,$29.53B,7.15
ADA-ICP,0.9015,$36.26B,-12.43
NEAR-FET,0.8937,$9.63B,-24.13
ICP-ETC,0.8937,$8.84B,-14.09
NEAR-POL,0.8901,$10.27B,-20.41
DOT-ICP,0.8885,$15.45B,-14.68
WEETH-ETC,0.8833,$10.41B,-11.69
STETH-ETC,0.8832,$36.18B,-11.92
POL-ETC,0.8829,$7.99B,-15.94
DOT-ETC,0.881,$14.47B,-18.46
AVAX-ICP,0.8809,$20.17B,-11.44
DOT-POL,0.8796,$14.60B,-16.54
AVAX-NEAR,0.8765,$21.45B,-19.69
AVAX-DOT,0.8758,$25.79B,-15.81
NEAR-ARB,0.8757,$9.44B,-21.18
ADA-NEAR,0.8744,$37.55B,-20.68
WEETH-ARB,0.8726,$9.72B,-10.54
ADA-POL,0.8716,$35.41B,-14.29
STETH-ARB,0.8715,$35.49B,-10.77
UNI-ETC,0.868,$12.09B,-5.49
AVAX-POL,0.8656,$19.32B,-13.3
AVAX-ARB,0.8655,$18.49B,-14.07
APT-ICP,0.8586,$9.85B,-20.38
WETH-ETC,0.8556,$13.65B,-11.83
DOGE-SHIB,0.8448,$58.78B,-18.03
NEAR-ETC,0.8444,$10.13B,-22.33
TAO-FET,0.8435,$6.96B,-20.61
RENDER-FET,0.8421,$7.10B,-19.15
BCH-POL,0.8394,$12.90B,-13.03
UNI-POL,0.8391,$12.23B,-3.57
ADA-AVAX,0.8384,$46.60B,-13.57
BCH-ICP,0.8357,$13.74B,-11.17
WETH-ARB,0.8356,$12.95B,-10.68
ADA-ETC,0.8348,$35.27B,-16.21
ADA-ARB,0.8338,$34.58B,-15.06
DOT-LTC,0.8328,$18.18B,-6.09
UNI-ARB,0.8286,$11.40B,-4.35
UNI-ICP,0.8277,$13.08B,-1.72
BCH-UNI,0.8187,$16.99B,-2.58
TON-TAO,0.8164,$18.16B,-15.02
ETH-WBTC,0.8109,$414.51B,-3.09
ADA-LTC,0.8108,$38.98B,-3.84
BCH-ETC,0.8093,$12.76B,-14.95
ETH-BTC,0.8078,$2.29T,-3.1
ETH-DOT,0.8056,$412.41B,-12.6
SUI-RENDER,0.8053,$15.88B,2.57
BTC-DOGE,0.8033,$1.93T,-10.81
